designation,period,provenience,museum_no,id_text
Akkadica 117 015 O.118,Old Babylonian,uncertain,MRAH O.0118,P200931
Akkadica 117 015 O.119,Old Babylonian,uncertain,MRAH O.0119,P200932
Akkadica 117 016 O.120,Old Babylonian,uncertain,MRAH O.120,P200933
"OIP 011, 105 + 109 + 148",Old Babylonian,Nippur,CBS 04803 + CBS 06591 + CBS 05962,P227953
"OIP 011, 030",Old Babylonian,Nippur,CBS 04805,P227955
CBS 04813 + CBS 06853,Old Babylonian,uncertain,CBS 04813 + CBS 06853,P227962
"OIP 011, p. 014, CBS 04826 (unpub. dup.)",Old Babylonian,Nippur,CBS 04826,P227972
"OIP 011, 096",Old Babylonian,Nippur,CBS 04846,P227988
N 2469,Old Babylonian,Nippur,N 2469,P228140
N 4541,Old Babylonian,Nippur,N 4541,P228267
N 5544,Old Babylonian,Nippur,N 5544,P228489
"BPOA 09, 257",Old Babylonian,Nippur,UM 29-16-541,P228766
UM 29-16-583,Old Babylonian,Nippur,UM 29-16-583,P228782
"PBS 11/1, 040",Old Babylonian,Nippur,CBS 05912 + N 4966,P228991
"TMH 11, 09",Old Babylonian,Nippur,HS 1607 + HS 2946,P229038
CBS 05873,Old Babylonian,uncertain,CBS 05873,P229160
"EEN 061, CBS 06098",Old Babylonian,Nippur,CBS 06098 + N 3960 + N 5128,P229166
CBS 06542,Old Babylonian,Nippur,CBS 06542,P229216
N 5350,Old Babylonian,Nippur,N 5350,P229278
"OIP 011, 249",Old Babylonian,Nippur,CBS 06527,P229318
"OIP 011, 225",Old Babylonian,Nippur,CBS 06530,P229326
A 33510,Old Babylonian,Nippur,A 33510,P229365
Ist Ni 03949,Old Babylonian,Nippur,Ist Ni 03949,P229384
CBS 15210,Old Babylonian,Nippur,CBS 15210,P229387
N 5248,Old Babylonian,Nippur,N 5248,P229411
CBS 15225,Old Babylonian,Nippur,CBS 15225,P229414
Ist Ni 03775,Old Babylonian,Nippur,Ist Ni 03775,P229428
"PBS 05, 128",Old Babylonian,Nippur,CBS 14006,P229443
A 30173,Old Babylonian,Nippur,A 30173,P229564
N 6041 + N 6049 + UM 29-16-195,Old Babylonian,Nippur,N 6041 + N 6049 + UM 29-16-195,P229567
N 4976,Old Babylonian,Nippur,N 4976,P229570
A 30214,Old Babylonian,Nippur,A 30214,P229573
UM 29-13-511,Old Babylonian,Nippur,UM 29-13-511,P229576
A 33416,Old Babylonian,Nippur,A 33416,P229582
UM 29-16-071,Old Babylonian,Nippur,UM 29-16-071,P229585
CBS 13637,Old Babylonian,Nippur,CBS 13637,P229588
N 6091,Old Babylonian,Nippur,N 6091,P229621
"OIP 011, 014",Old Babylonian,Nippur,CBS 06560,P229633
IM 058749,Old Babylonian,Nippur,IM 058749,P229642
N 5072,Old Babylonian,Nippur,N 5072,P229645
"OIP 011, 034",Old Babylonian,Nippur,CBS 06489,P229649
CBS 01593,Old Babylonian,Nippur,CBS 01593,P229669
"SP p. 37 pl. 22 WW, N 5863",Old Babylonian,Nippur,N 5863,P229699
"SP 162 pl. 41 M, CBS 13866",Old Babylonian,Nippur,CBS 13866,P229702
SP 168 pl. 61 EEE,Old Babylonian,Nippur,CBS 13609,P229711
"NABU 1994/091, CBS 06781",Old Babylonian,uncertain,CBS 06781,P229719
"NABU 1994/091, CBS 07335",Old Babylonian,Nippur,CBS 07335 + N 5955 + N 6084,P229720
"NABU 1994/091, CBS 07355",Old Babylonian,Nippur,CBS 07355,P229721
CBS 19809,Old Babylonian,Nippur,CBS 19809,P229722
"TMH 11, 06",Old Babylonian,Nippur,HS 1608 + HS 2629,P229743
"TMH 11, 08",Old Babylonian,Nippur,HS 1451,P229764
"TMH 11, 10",Old Babylonian,Nippur,HS 1752,P229931
"TMH 11, 05",Old Babylonian,Nippur,HS 1770,P229940
"TMH 11, 07",Old Babylonian,Nippur,HS 1808,P229969
"TMH 11, 02",Old Babylonian,Nippur,HS 1851,P229997
Ist Ni 05027,Old Babylonian,Nippur,Ist Ni 05027,P230119
N 3815,Old Babylonian,uncertain,N 3815,P230144
N 4990,Old Babylonian,Nippur,N 4990,P230212
CBS 10365,Old Babylonian,Nippur,CBS 10365,P230213
N 3997 + N 4918 (+) N 4915 + N 4964,Old Babylonian,Nippur,N 3997 + N 4918 (+) N 4915 + N 4964,P230218
3N-T0922t,Old Babylonian,Nippur,,P230241
3N-T0922h ?,Old Babylonian,Nippur,,P230251
A 30156,Old Babylonian,Nippur,A 30156,P230260
IM 058459,Old Babylonian,Nippur,IM 058459,P230273
CBS 02144,Old Babylonian,uncertain,CBS 02144,P230280
CBS 02149,Old Babylonian,uncertain,CBS 02149,P230282
CBS 02162,Old Babylonian,uncertain,CBS 02162,P230283
CBS 06750,Old Babylonian,uncertain,CBS 06750,P230420
CBS 06820,Old Babylonian,uncertain,CBS 06820,P230428
CBS 07850,Old Babylonian,Nippur,CBS 07850,P230449
CBS 08069,Old Babylonian,uncertain,CBS 08069,P230460
CBS 08663 + N 3510,Old Babylonian,Nippur,CBS 08663 + N 3510,P230464
CBS 10158,Old Babylonian,Nippur,CBS 10158,P230466
CBS 13128,Old Babylonian,Nippur,CBS 13128,P230518
UM 29-15-475,Old Babylonian,Nippur,UM 29-15-475,P230550
UM 29-15-628,Old Babylonian,Nippur,UM 29-15-628,P230554
UM 29-16-018,Old Babylonian,Nippur,UM 29-16-018,P230558
UM 29-16-575,Old Babylonian,Nippur,UM 29-16-575,P230563
N 3912,Old Babylonian,Nippur,N 3912,P230576
N 3930,Old Babylonian,Nippur,N 3930,P230580
N 4567,Old Babylonian,Nippur,N 4567,P230591
CBS 06798,Old Babylonian,Nippur,CBS 06798,P230604
CBS 01206,Old Babylonian,Nippur,CBS 01206,P230618
CBS 06685,Old Babylonian,uncertain,CBS 06685,P230619
CBS 08868,Old Babylonian,Nippur,CBS 08868,P230620
CBS 10252,Old Babylonian,Nippur,CBS 10252,P230621
CBS 10369,Old Babylonian,Nippur,CBS 10369,P230622
CBS 10395,Old Babylonian,Nippur,CBS 10395,P230623
CBS 13934,Old Babylonian,Nippur,CBS 13934,P230624
"PBS 13, 39",Old Babylonian,Nippur,CBS 14055,P230625
CBS 15054,Old Babylonian,Nippur,CBS 15054,P230626
UM 29-13-552,Old Babylonian,Nippur,UM 29-13-552,P230627
UM 29-13-753,Old Babylonian,Nippur,UM 29-13-753,P230628
UM 29-15-178,Old Babylonian,Nippur,UM 29-15-178,P230629
N 3168 + N 3025 + UM 29-15-416,Old Babylonian,Nippur,N 3168 + N 3025 + UM 29-15-416,P230630
UM 29-15-830,Old Babylonian,Nippur,UM 29-15-830,P230632
UM 29-13-408a,Old Babylonian,Nippur,UM 29-13-408a,P230634
UM 29-15-997,Old Babylonian,Nippur,UM 29-15-997,P230635
UM 29-16-006,Old Babylonian,Nippur,UM 29-16-006,P230636
UM 29-16-346,Old Babylonian,Nippur,UM 29-16-346,P230637
UM 29-16-437,Old Babylonian,Nippur,UM 29-16-437,P230638
UM 29-16-527,Old Babylonian,Nippur,UM 29-16-527,P230639
UM 29-16-548,Old Babylonian,Nippur,UM 29-16-548,P230640
UM 29-16-671,Old Babylonian,Nippur,UM 29-16-671,P230641
N 0950,Old Babylonian,Nippur,N 0950,P230642
N 1323,Old Babylonian,Nippur,N 1323,P230643
N 1326,Old Babylonian,Nippur,N 1326,P230644
N 1481,Old Babylonian,Nippur,N 1481,P230646
N 2147,Old Babylonian,Nippur,N 2147,P230648
N 2397,Old Babylonian,Nippur,N 2397,P230649
N 2980,Old Babylonian,Nippur,N 2980,P230650
N 3085,Old Babylonian,Nippur,N 3085,P230651
N 3160,Old Babylonian,Nippur,N 3160,P230652
N 3176,Old Babylonian,Nippur,N 3176,P230653
N 3177,Old Babylonian,Nippur,N 3177,P230654
N 3228,Old Babylonian,Nippur,N 3228,P230655
N 3234,Old Babylonian,Nippur,N 3234,P230656
N 3272,Old Babylonian,Nippur,N 3272,P230657
N 3445,Old Babylonian,Nippur,N 3445,P230658
N 3472,Old Babylonian,Nippur,N 3472,P230659
N 3533,Old Babylonian,Nippur,N 3533,P230660
N 3550 + N 3663 + N 5604,Old Babylonian,Nippur,N 3550 + N 3663 + N 5604,P230661
N 3763,Old Babylonian,Nippur,N 3763,P230662
N 4040 + N 4064,Old Babylonian,Nippur,N 4040 + N 4064,P230663
N 4073,Old Babylonian,Nippur,N 4073,P230664
N 4075,Old Babylonian,Nippur,N 4075,P230665
N 4103,Old Babylonian,Nippur,N 4103,P230666
N 4112,Old Babylonian,Nippur,N 4112,P230667
N 4127,Old Babylonian,Nippur,N 4127,P230668
N 4140,Old Babylonian,Nippur,N 4140,P230669
N 4197,Old Babylonian,Nippur,N 4197,P230671
N 4617,Old Babylonian,Nippur,N 4617,P230673
N 4706,Old Babylonian,Nippur,N 4706,P230674
N 4742,Old Babylonian,Nippur,N 4742,P230676
N 4768,Old Babylonian,Nippur,N 4768,P230677
N 4980,Old Babylonian,Nippur,N 4980,P230678
N 5037,Old Babylonian,Nippur,N 5037,P230679
N 5060,Old Babylonian,Nippur,N 5060,P230680
N 5067 + N 5069,Old Babylonian,Nippur,N 5067 + N 5069,P230681
N 5090,Old Babylonian,Nippur,N 5090,P230682
N 5136,Old Babylonian,Nippur,N 5136,P230683
N 5198,Old Babylonian,Nippur,N 5198,P230684
N 5214,Old Babylonian,Nippur,N 5214,P230685
N 5334,Old Babylonian,Nippur,N 5334,P230688
N 5359,Old Babylonian,Nippur,N 5359,P230689
N 5550,Old Babylonian,Nippur,N 5550,P230690
CBS 07905 + N 5686,Old Babylonian,Nippur,CBS 07905 + N 5686,P230691
N 5864,Old Babylonian,Nippur,N 5864,P230692
N 6005,Old Babylonian,Nippur,N 6005,P230694
N 6043,Old Babylonian,Nippur,N 6043,P230695
N 6056,Old Babylonian,Nippur,N 6056,P230696
N 6147,Old Babylonian,Nippur,N 6147,P230697
N 6231,Old Babylonian,Nippur,N 6231,P230698
N 6267,Old Babylonian,Nippur,N 6267,P230699
N 6987,Old Babylonian,Nippur,N 6987,P230700
"SLFN 76, 3N-T901, 035",Old Babylonian,Nippur,,P230701
"SLFN 73, 3N-T902, 063",Old Babylonian,Nippur,,P230702
"Lugale 2, 016 J2",Old Babylonian,Nippur,IM 058414,P230705
"SLFN 76, 3N-T919, 470",Old Babylonian,Nippur,,P230706
"SLFN 74, 3N-T923, 494",Old Babylonian,Nippur,,P230707
UM 55-21-328,Old Babylonian,Nippur,UM 55-21-328,P230710
UM 55-21-333,Old Babylonian,Nippur,UM 55-21-333,P230711
IM 058743,Old Babylonian,Nippur,IM 058743,P230712
UM 55-21-441,Old Babylonian,Nippur,UM 55-21-441,P230713
"SLFN 78, 3N-T927, 530",Old Babylonian,Nippur,,P230714
"SLFN 74, 3N-T927, 513",Old Babylonian,Nippur,,P230715
"ZA 097, 001-025",Old Babylonian,Nippur,CBS 11324,P230716
"PBS 08/1, 102",Old Babylonian,Nippur,CBS 03855 + UM 29-16-243 + N 5901,P230718
"PBS 08/1, 101",Old Babylonian,Nippur,CBS 10987,P230719
"PBS 12, 23",Old Babylonian,Nippur,CBS 04617,P230721
N 2679,Old Babylonian,Nippur,N 2679,P230722
"AS 16, 012, N 0963",Old Babylonian,Nippur,N 0963,P230723
CBS 02143A,Old Babylonian,Nippur,CBS 02143A,P230724
CBS 02208,Old Babylonian,Nippur,CBS 02208,P230725
CBS 02298,Old Babylonian,Nippur,CBS 02298,P230726
CBS 06867,Old Babylonian,Nippur,CBS 06867,P230727
CBS 03867,Old Babylonian,Nippur,CBS 03867,P230728
"PBS 12, 33",Old Babylonian,Nippur,CBS 04614,P230731
CBS 06760,Old Babylonian,Nippur,CBS 06760,P230732
CBS 06815,Old Babylonian,Nippur,CBS 06815,P230733
CBS 06822,Old Babylonian,Nippur,CBS 06822,P230734
CBS 06826,Old Babylonian,Nippur,CBS 06826,P230735
CBS 06858,Old Babylonian,Nippur,CBS 06858,P230737
CBS 07297,Old Babylonian,Nippur,CBS 07297,P230738
"MCT 036, CBS 07356",Old Babylonian,uncertain,CBS 07356,P230739
CBS 07971,Old Babylonian,Nippur,CBS 07971,P230740
CBS 08020,Old Babylonian,Nippur,CBS 08020,P230741
CBS 08033,Old Babylonian,Nippur,CBS 08033,P230742
CBS 08174,Old Babylonian,Nippur,CBS 08174,P230743
CBS 08311,Old Babylonian,Nippur,CBS 08311,P230744
CBS 08437,Old Babylonian,Nippur,CBS 08437,P230746
CBS 06758 + CBS 08783,Old Babylonian,Nippur,CBS 06758 + CBS 08783,P230747
CBS 09269,Old Babylonian,Nippur,CBS 09269,P230748
CBS 09852 + CBS 09867 + CBS 09872 + CBS 13379 + N 4581 + N 4737,Old Babylonian,Nippur,CBS 09852 + CBS 09867 + CBS 09872 + CBS 13379 + N 4581 + N 4737,P230749
CBS 10236,Old Babylonian,Nippur,CBS 10236,P230750
CBS 10288,Old Babylonian,Nippur,CBS 10288,P230751
CBS 10327,Old Babylonian,Nippur,CBS 10327,P230752
CBS 10328,Old Babylonian,Nippur,CBS 10328,P230753
CBS 10372,Old Babylonian,Nippur,CBS 10372,P230754
"OIP 016, 086",Old Babylonian,Nippur,CBS 11785,P230756
CBS 11965,Old Babylonian,Nippur,CBS 11965,P230757
CBS 11985,Old Babylonian,Nippur,CBS 11985,P230758
CBS 12749,Old Babylonian,Nippur,CBS 12749,P230759
CBS 13882,Old Babylonian,Nippur,CBS 13882,P230760
CBS 13903 + N 3197A,Old Babylonian,Nippur,CBS 13903 + N 3197A,P230761
CBS 15011,Old Babylonian,Nippur,CBS 15011,P230762
UM 29-15-374,Old Babylonian,Nippur,UM 29-15-374,P230763
CBS 07919,Old Babylonian,Nippur,CBS 07919,P230764
UM 29-16-482,Old Babylonian,Nippur,UM 29-16-482,P230765
UM 29-16-632,Old Babylonian,Nippur,UM 29-16-632,P230766
N 0986,Old Babylonian,Nippur,N 0986,P230767
N 1318,Old Babylonian,Nippur,N 1318,P230768
N 1335,Old Babylonian,Nippur,N 1335,P230769
N 1533,Old Babylonian,Nippur,N 1533,P230770
N 2110,Old Babylonian,Nippur,N 2110,P230771
N 2563,Old Babylonian,Nippur,N 2563,P230772
"SLFN 75, 3N-T903, 101",Old Babylonian,Nippur,,P230774
N 3653,Old Babylonian,Nippur,N 3653,P230775
N 4058,Old Babylonian,Nippur,N 4058,P230776
N 4159,Old Babylonian,Nippur,N 4159,P230777
N 4639,Old Babylonian,Nippur,N 4639,P230778
N 4726,Old Babylonian,Nippur,N 4726,P230779
N 4783,Old Babylonian,Nippur,N 4783,P230780
"SLFN 73, 3N-T903, 116",Old Babylonian,Nippur,,P230781
"SLFN 76, 3N-T904, 144",Old Babylonian,Nippur,,P230782
N 5281,Old Babylonian,Nippur,N 5281,P230783
N 5900,Old Babylonian,Nippur,N 5900,P230784
N 5967,Old Babylonian,Nippur,N 5967,P230785
CBS 04582 + Ist Ni 05059,Old Babylonian,Nippur,CBS 04582 + Ist Ni 05059,P230786
N 5884,Old Babylonian,Nippur,N 5884,P230787
UM 55-21-058,Old Babylonian,Nippur,UM 55-21-058,P230788
CBS 06000,Old Babylonian,Nippur,CBS 06000,P230789
"SLFN 75, 3N-T906, 247",Old Babylonian,Nippur,,P230790
N 7117,Old Babylonian,Nippur,N 7117,P230791
CBS 06699,Old Babylonian,Nippur,CBS 06699,P230792
CBS 06711,Old Babylonian,Nippur,CBS 06711,P230793
CBS 10311,Old Babylonian,Nippur,CBS 10311,P230794
CBS 14027,Old Babylonian,Nippur,CBS 14027,P230796
UM 29-15-142,Old Babylonian,Nippur,UM 29-15-142,P230797
IM 057879,Old Babylonian,Nippur,IM 057879,P230801
IM 057967,Old Babylonian,Nippur,IM 057967,P230802
IM 058560,Old Babylonian,Nippur,IM 058560,P230803
IM 058568,Old Babylonian,Nippur,IM 058568,P230804
IM 058583,Old Babylonian,Nippur,IM 058583,P230805
IM 058639,Old Babylonian,Nippur,IM 058639,P230806
3N-T0914bb,Old Babylonian,Nippur,,P230817
"JAOS 120, 399",Old Babylonian,Nippur,UM 55-21-437,P230819
N 6037,Old Babylonian,Nippur,N 6037,P230975
N 6100,Old Babylonian,Nippur,N 6100,P230985
N 4668,Old Babylonian,Nippur,N 4668,P231090
N 5381,Old Babylonian,Nippur,N 5381,P231335
Ist Ni 05364,Old Babylonian,Nippur,Ist Ni 05364,P231388
N 5529,Old Babylonian,Nippur,N 5529,P231407
Ist Ni 01576,Old Babylonian,Nippur,Ist Ni 01576,P231446
Ist Ni 05371 + Ist Ni 10032,Old Babylonian,Nippur,Ist Ni 05371 + Ist Ni 10032,P231447
"TMH 11, 01",Old Babylonian,Nippur,HS 1550 + HS 1551 + HS 1614 + HS 1724 + HS 1850 + HS 1865 + HS 2510 + HS 2634 + HS 2911,P231448
"TMH 11, 04",Old Babylonian,Nippur,HS 2500a,P231449
"TMH 11, 03",Old Babylonian,Nippur,HS 2607,P231450
"TMH 11, 11",Old Babylonian,Nippur,HS 2916,P231451
"Proverbs 144, Ni 05098",Old Babylonian,Nippur,Ist Ni 05098,P231617
N 6981,Old Babylonian,Nippur,N 6981,P231716
"TMN p. 331, Ist Ni 03242",Old Babylonian,Nippur,Ist Ni 03242,P231757
HMA 9-01915,Old Babylonian,uncertain,HMA 9-01915,P248006
MS 2043,Old Babylonian,uncertain,MS 2043,P250815
MS 2279,Old Babylonian,uncertain,MS 2279,P251516
MS 2280,Old Babylonian,uncertain,MS 2280,P251517
MS 2341,Old Babylonian,uncertain,MS 2341,P251564
MS 2348,Old Babylonian,uncertain,MS 2348,P251568
"Fs Kienast (2003), 111",Old Babylonian,uncertain,MS 2951,P252010
MS 3308,Old Babylonian,uncertain,MS 3308,P252249
MS 3319,Old Babylonian,uncertain,MS 3319,P252260
MS 3321,Old Babylonian,uncertain,MS 3321,P252262
MS 3330,Old Babylonian,uncertain,MS 3330,P252271
MS 3333,Old Babylonian,uncertain,MS 3333,P252274
MS 3339,Old Babylonian,uncertain,MS 3339,P252280
MS 3349,Old Babylonian,uncertain,MS 3349,P252290
MS 3385,Old Babylonian,uncertain,MS 3385,P252326
MS 4119,Old Babylonian,uncertain,MS 4119,P253216
MS 4423,Old Babylonian,uncertain,MS 4423,P253576
MS 4979,Old Babylonian,uncertain,MS 4979,P254010
UM 29-15-617,Old Babylonian,Nippur,UM 29-15-617,P255081
UM 29-16-291 + N 4167,Old Babylonian,Nippur,UM 29-16-291 + N 4167,P256835
UM 29-16-500,Old Babylonian,Nippur,UM 29-16-500,P256988
CBS 11358 + N 1960 + N 5871,Old Babylonian,Nippur,CBS 11358 + N 1960 + N 5871,P266507
CBS 11399,Old Babylonian,Nippur,CBS 11399,P266538
Education in the Earliest Schools no. 056,Old Babylonian,uncertain,"PARS 12/01, 002",P273797
Education in the Earliest Schools no. 178,Old Babylonian,uncertain,"PARS 12/01, 151",P273878
Education in the Earliest Schools no. 180,Old Babylonian,uncertain,"PARS 12/01, 152",P273879
N 1369 + N 1381,Old Babylonian,Nippur,N 1369 + N 1381,P276516
N 1640,Old Babylonian,Nippur,N 1640,P276764
N 5723,Old Babylonian,Nippur,N 5723,P279804
"UET 5, 260",Old Babylonian,Ur,UM 52-30-122,P283681
"UET 5, 322",Old Babylonian,Ur,BM 131299,P283684
"UET 5, 366",Old Babylonian,Ur,IM -,P283685
"UET 5, 388",Old Babylonian,Ur,IM -,P283687
"UET 5, 428",Old Babylonian,Ur,BM 131326,P283689
"CBCY 02, p. 089, NBC 08623",Old Babylonian,uncertain,NBC 08623,P289409
"CBCY 02, p. 072, NBC 07800a",Old Babylonian,uncertain,NBC 07800A,P290144
"CBCY 02, p. 089, NBC 08630",Old Babylonian,uncertain,NBC 08630,P299975
ARN 135,Old Babylonian,Nippur,Ist Ni 03038,P313251
MS 3176/5,Old Babylonian,uncertain,MS 3176/5,P342643
MS 3179,Old Babylonian,uncertain,MS 3179,P342646
"AUWE 23, 183",Old Babylonian,Uruk,VAT 21657,P349178
"AUWE 23, 184",Old Babylonian,Uruk,,P349179
"AUWE 23, 185",Old Babylonian,Uruk,,P349180
"AUWE 23, 186",Old Babylonian,Uruk,,P349181
"AUWE 23, 187",Old Babylonian,Uruk,VAT 21610,P349182
"TMN p. 341, Ist Ni 04744",Old Babylonian,Nippur,Ist Ni 04744,P368830
"TMN p. 350, Ist Ni 10009",Old Babylonian,Nippur,Ist Ni 10009,P368903
"TMN p. 351, Ist Ni 10062",Old Babylonian,Nippur,Ist Ni 10062,P368906
"TMN p. 352, Ist Ni 10108",Old Babylonian,Nippur,Ist Ni 10108,P368911
TMN p. 355 Ist Ni 10210,Old Babylonian,Nippur,Ist Ni 10210,P368932
"CT 08, pl. 25, Bu 1891-05-09, 0558",Old Babylonian,Sippar,BM 080419,P370464
Education in the Earliest Schools no. 053,Old Babylonian,uncertain,"SC 3, 024d",P388287
Education in the Earliest Schools no. 054,Old Babylonian,uncertain,"SC 3, 024b",P388288
Education in the Earliest Schools no. 076,Old Babylonian,uncertain,"SC 3, 023a",P388303
Education in the Earliest Schools no. 077,Old Babylonian,uncertain,"SC 3, 023b",P388304
CDLJ 2014/2,Old Babylonian,Larsa (?),"SC 3, 024a",P388305
Education in the Earliest Schools no. 176,Old Babylonian,uncertain,"SC 3, 024e",P388376
AION 72,Old Babylonian,Larsa (?),"SC 3, 024c",P388377
Education in the Earliest Schools no. 179,Old Babylonian,uncertain,"PARS 12/01, 141",P388580
"TLB 01, 266",Old Babylonian,uncertain,LB 1954,P390404
CUNES 52-02-045,Old Babylonian,uncertain,CUNES 52-02-045,P411563
CUNES 52-08-065,Old Babylonian,uncertain,CUNES 52-08-065,P411647
CUNES 52-10-147+149+150,Old Babylonian,uncertain,CUNES 52-10-147+149+150,P411668
CUNES 52-10-148,Old Babylonian,uncertain,CUNES 52-10-148,P411669
CUNES 52-10-155,Old Babylonian,uncertain,CUNES 52-10-155,P411676
X.3.217,Old Babylonian,uncertain,X.3.217,P433189
"Nisaba 19, 161",Old Babylonian,Ur,IM 090430,P448857
"OIC 22, 14",Old Babylonian,Nippur,,P459060
"AOAT 297, 337",Old Babylonian,Nippur,A 33446,P459214
IM 058436,Old Babylonian,Nippur,IM 058436,P459215
3N-T0567,Old Babylonian,Nippur,,X000001
BM 080491,Old Babylonian,Sippar,BM 080491,X000002
Ist Ni 05358,Old Babylonian,Nippur,Ist Ni 05358,X000003
BM 079062,,Sippar,BM 079062,X000004
BM 054697,Old Babylonian,Sippar,BM 054697,X000005
Ist Ni 10200,Old Babylonian,unclear,Ist Ni 10200,X000006
Edubba 9 29,Old Babylonian,Tulul Khattab,IM 092207,X000007
Edubba 9 30,Old Babylonian,Tulul Khattab,IM 090572,X000008
YBC 11121,Old Babylonian,uncertain,YBC 11121,X000009
BM 061370,Old Babylonian,Sippar,BM 061370,X000010
"ZA 101, 204-245",Old Babylonian,uncertain,,X000011
YBC 00263,Old Babylonian,uncertain,YBC 00263,X000012
YBC 12074,Old Babylonian,uncertain,YBC 12074,X000013
